PModel;Task;OpType;Opt;InsCount;Timer;Time[µs];LNum;AvTime[µs];AbsErr[µs];RelErr[%];NTypicalTasks;TaskPerf[Tasks per second]
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();375092;0;0.0375092;36040;8.76604%;10000000;2.66601e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();356529;1;0.0356529;54603;13.2811%;10000000;2.80482e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();374518;2;0.0374518;36614;8.90566%;10000000;2.6701e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();319910;3;0.031991;91222;22.188%;10000000;3.12588e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();455771;4;0.0455771;-44639;-10.8576%;10000000;2.19408e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();374296;5;0.0374296;36836;8.95965%;10000000;2.67168e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();351812;6;0.0351812;59320;14.4285%;10000000;2.84243e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();376039;7;0.0376039;35093;8.5357%;10000000;2.6593e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();707820;8;0.070782;-296688;-72.1637%;10000000;1.41279e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O0;5;std::chrono::steady_clock::now();419540;9;0.041954;-8408;-2.04509%;10000000;2.38356e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();362639;0;0.0362639;61267;14.453%;10000000;2.75756e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();406676;1;0.0406676;17230;4.06458%;10000000;2.45896e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();505197;2;0.0505197;-81291;-19.1767%;10000000;1.97943e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();327263;3;0.0327263;96643;22.7982%;10000000;3.05565e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();566580;4;0.056658;-142674;-33.657%;10000000;1.76498e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();389352;5;0.0389352;34554;8.15134%;10000000;2.56837e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();373127;6;0.0373127;50779;11.9788%;10000000;2.68005e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();365229;7;0.0365229;58677;13.842%;10000000;2.73801e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();582876;8;0.0582876;-158970;-37.5012%;10000000;1.71563e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O0;5;std::chrono::steady_clock::now();360128;9;0.0360128;63778;15.0453%;10000000;2.77679e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();449312;0;0.0449312;109312;19.5681%;10000000;2.22562e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();422114;1;0.0422114;136510;24.4368%;10000000;2.36903e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();480351;2;0.0480351;78273;14.0117%;10000000;2.08181e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();415883;3;0.0415883;142741;25.5522%;10000000;2.40452e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();596581;4;0.0596581;-37957;-6.79473%;10000000;1.67622e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();422941;5;0.0422941;135683;24.2888%;10000000;2.3644e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();484672;6;0.0484672;73952;13.2382%;10000000;2.06325e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();522214;7;0.0522214;36410;6.5178%;10000000;1.91492e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();1099816;8;0.109982;-541192;-96.8795%;10000000;9.09243e+06
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O0;5;std::chrono::steady_clock::now();692356;9;0.0692356;-133732;-23.9395%;10000000;1.44434e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();63498;0;0.0063498;59616;48.4234%;10000000;1.57485e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();99144;1;0.0099144;23970;19.4698%;10000000;1.00863e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();142200;2;0.01422;-19086;-15.5027%;10000000;7.03235e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();53196;3;0.0053196;69918;56.7913%;10000000;1.87984e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();287313;4;0.0287313;-164199;-133.372%;10000000;3.48052e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();82552;5;0.0082552;40562;32.9467%;10000000;1.21136e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();82416;6;0.0082416;40698;33.0572%;10000000;1.21336e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();67133;7;0.0067133;55981;45.4709%;10000000;1.48958e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();306281;8;0.0306281;-183167;-148.778%;10000000;3.26498e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O1;5;std::chrono::steady_clock::now();47409;9;0.0047409;75705;61.4918%;10000000;2.1093e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();116018;0;0.0116018;-17760;-18.0749%;10000000;8.61935e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();69975;1;0.0069975;28283;28.7844%;10000000;1.42908e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();112521;2;0.0112521;-14263;-14.5159%;10000000;8.88723e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();48640;3;0.004864;49618;50.4977%;10000000;2.05592e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();158798;4;0.0158798;-60540;-61.6133%;10000000;6.29731e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();50987;5;0.0050987;47271;48.1091%;10000000;1.96128e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();69090;6;0.006909;29168;29.6851%;10000000;1.44739e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();62473;7;0.0062473;35785;36.4194%;10000000;1.60069e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();248876;8;0.0248876;-150618;-153.288%;10000000;4.01807e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O1;5;std::chrono::steady_clock::now();45206;9;0.0045206;53052;53.9925%;10000000;2.2121e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();92624;0;0.0092624;144648;60.9629%;10000000;1.07963e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();110064;1;0.0110064;127208;53.6127%;10000000;9.08562e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();128226;2;0.0128226;109046;45.9582%;10000000;7.79873e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();55897;3;0.0055897;181375;76.4418%;10000000;1.789e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();236535;4;0.0236535;737;0.310614%;10000000;4.2277e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();99277;5;0.0099277;137995;58.159%;10000000;1.00728e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();86865;6;0.0086865;150407;63.3901%;10000000;1.15121e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();95728;7;0.0095728;141544;59.6547%;10000000;1.04463e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();1370558;8;0.137056;-1133286;-477.632%;10000000;7.2963e+06
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);double;O1;5;std::chrono::steady_clock::now();96951;9;0.0096951;140321;59.1393%;10000000;1.03145e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();47417;0;0.0047417;36820;43.71%;10000000;2.10895e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();47404;1;0.0047404;36833;43.7254%;10000000;2.10953e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();67041;2;0.0067041;17196;20.4138%;10000000;1.49162e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();34004;3;0.0034004;50233;59.6329%;10000000;2.94083e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();123848;4;0.0123848;-39611;-47.0233%;10000000;8.07441e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();29452;5;0.0029452;54785;65.0367%;10000000;3.39536e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();28797;6;0.0028797;55440;65.8143%;10000000;3.47258e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();47340;7;0.004734;36897;43.8014%;10000000;2.11238e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();384478;8;0.0384478;-300241;-356.424%;10000000;2.60093e+07
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);int;O2;5;std::chrono::steady_clock::now();32597;9;0.0032597;51640;61.3032%;10000000;3.06777e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O2;5;std::chrono::steady_clock::now();41948;0;0.0041948;43893;51.1329%;10000000;2.3839e+08
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz;Basic operations (+ - * /);float;O2;5;std::chrono::steady_clock::now();74164;1;0.0074164;11677;13.6031%;10000000;1.34836e+08
